symbol,shortName,exchange,sector,industry,eodprice,regularMarketPrice,pct_1w,pct_1m,rel_volume,revenueGrowth,earningsQuarterlyGrowth,pegRatio,trailingPE
S,"SentinelOne, Inc.",NYQ,Technology,Software - Infrastructure,15.95,15.675,-9.6542,-5.5154,0.4961,0.2080,,,
RUN,Sunrun Inc.,NMS,Technology,Solar,13.355,13.645,-10.5902,-6.6735,0.6707,0.4320,2.3520,3.0700,6.4014
RNG,"Ringcentral, Inc.",NYQ,Technology,Software - Application,42.29,41.09,-11.3651,-9.7899,0.4194,0.0530,,0.2300,43.7234
RELY,"Remitly Global, Inc.",NMS,Technology,Software - Infrastructure,18.77,18.51,-7.7479,-22.9505,0.5782,0.2520,3.3210,0.1161,38.5729
RDWR,Radware Ltd.,NMS,Technology,Software - Infrastructure,27.94,28.335,-10.1902,3.1114,0.2656,0.1070,-0.1840,22.7900,64.3977
RBRK,"Rubrik, Inc.",NYQ,Technology,Software - Infrastructure,73.41,71.26,-13.5309,14.1963,0.7022,0.3900,,,
RAMP,"LiveRamp Holdings, Inc.",NYQ,Technology,Software - Infrastructure,37.42,37.5,-0.2262,23.4200,0.9522,0.0920,,0.5900,16.8139
RAL,Ralliant Corporation,NYQ,Technology,Electronic Components,60.12,61.02,-1.6454,29.0917,0.3848,0.1100,-0.3080,,
QTWO,"Q2 Holdings, Inc.",NYQ,Technology,Software - Application,45.71,45.1025,-7.7128,-10.0140,0.5774,0.1410,4.6050,8.3500,39.9204
QRVO,"Qorvo, Inc.",NMS,Technology,Semiconductors,98.28,100.35,-2.4333,10.7257,0.9198,-0.0700,-0.0520,0.9800,27.6906
QBTS,D-Wave Quantum Inc.,NYQ,Technology,Computer Hardware,23.85,25.755,-14.1424,13.7794,0.7950,-0.8090,,,
PTRN,Pattern Group Inc. - Series A,NMS,Technology,Software - Application,19.55,19.55,-4.4010,22.8015,0.4338,0.4320,0.2810,,
PSN,Parsons Corporation,NYQ,Technology,Information Technology Services,58.72,58.28,-4.1420,18.5848,0.2591,-0.0410,-0.2010,,27.9043
PSFE,Paysafe Limited,NYQ,Technology,Software - Infrastructure,6.9,6.87,-7.7852,-25.9698,0.3172,0.1040,,,
PRGS,Progress Software Corporation,NMS,Technology,Software - Infrastructure,31.36,31.36,-7.9295,4.9548,0.3399,0.0410,1.0840,1.0500,16.0769
POWI,"Power Integrations, Inc.",NMS,Technology,Semiconductors,77.02,76.5,-9.2054,4.5705,0.6840,0.0260,-0.6250,1.5100,254.8000
PONY,Pony AI Inc.,NMS,Technology,Information Technology Services,8.62,8.975,-17.2207,-3.4984,0.6314,1.4500,,,
PLUS,ePlus inc.,NMS,Technology,Software - Application,82.32,83.61,-0.8890,-7.4189,0.6977,0.2170,0.1490,0.9400,17.7516
PLAB,"Photronics, Inc.",NMS,Technology,Semiconductor Equipment & Materials,29.15,29.92,-9.8069,-44.2767,1.2593,-0.0050,2.5470,2.6400,11.0295
PICS,PicS N.V.,NMS,Technology,Software - Infrastructure,9.18,9.37,-16.1146,-23.5102,0.4813,0.7020,1.0200,0.0525,5.3543
PENG,"Penguin Solutions, Inc.",NMS,Technology,Information Technology Services,59.86,63.74,-9.9858,43.7825,1.3881,-0.0620,3.6340,0.2500,90.8500
PEGA,Pegasystems Inc.,NMS,Technology,Software - Application,34.71,35.26,-3.6329,-1.9455,0.6033,-0.0960,-0.6160,3.9900,19.0703
PDFS,"PDF Solutions, Inc.",NMS,Technology,Software - Application,51.45,56.015,0.9643,8.4931,1.0607,0.2590,,4.1900,311.1944
PD,"PagerDuty, Inc.",NYQ,Technology,Software - Application,9.25,8.955,-11.6864,22.8395,0.4331,0.0100,,,4.3261
PCOR,"Procore Technologies, Inc.",NYQ,Technology,Software - Application,48.57,47.23,-10.3416,-11.3176,0.5624,0.1570,,,
PAYP,PayPay Corporation - American D,NMS,Technology,Software - Infrastructure,15.08,15.34,-17.9679,-21.7746,0.3049,0.2910,0.3950,1.4600,13.6964
PAY,"Paymentus Holdings, Inc.",NYQ,Technology,Software - Infrastructure,20.9,20.76,-7.1141,-22.0721,0.7078,0.3020,0.5120,0.7113,36.4211
PATH,"UiPath, Inc.",NYQ,Technology,Software - Infrastructure,11.24,11.175,-8.2948,3.5190,0.9475,0.1730,,0.4000,18.6083
PAR,PAR Technology Corporation,NYQ,Technology,Software - Application,13.46,13.35,-12.6880,-7.2917,0.3749,0.1940,,0.7700,
PAGS,PagSeguro Digital Ltd.,NYQ,Technology,Software - Infrastructure,8.53,8.5283,-7.4837,-15.4609,0.4252,0.0150,0.0390,1.5189,5.9236
P,"Everpure, Inc.",NYQ,Technology,Computer Hardware,72.17,74.0,-10.8701,-5.3736,0.5348,,,1.5300,112.0606
OUST,"Ouster, Inc.",NMS,Technology,Electronic Components,39.68,40.53,-12.0356,60.6746,0.8666,0.4890,,,
OTEX,Open Text Corporation,NMS,Technology,Software - Application,23.12,22.51,-8.1290,-7.8688,0.4407,0.0220,0.8600,1.0200,10.9272
OOMA,"Ooma, Inc.",NYQ,Technology,Software - Application,17.13,16.725,-5.2408,-13.3868,0.8182,0.2480,,,50.6818
OLED,Universal Display Corporation,NMS,Technology,Electronic Components,86.11,88.38,-5.8748,-3.7820,0.4349,-0.1450,-0.4430,1.0000,19.6615
OCTV,Octave Intelligence plc,NMS,Technology,Software - Application,18.71,21.18,-15.6511,-3.5519,0.9991,,,,18.4174
NTSK,"Netskope, Inc.",NMS,Technology,Software - Infrastructure,9.635,9.505,-21.6294,-18.4595,0.7742,0.2780,,,
NTNX,"Nutanix, Inc.",NMS,Technology,Software - Infrastructure,53.64,51.86,-6.5345,12.7478,0.4298,0.1000,0.1380,1.1800,54.5937
NTGR,"NETGEAR, Inc.",NMS,Technology,Communication Equipment,24.09,25.09,-8.0000,-8.7368,0.5261,-0.0200,,0.7400,
NTCT,"NetScout Systems, Inc.",NMS,Technology,Software - Infrastructure,40.59,40.67,-6.4241,3.9652,0.5931,-0.0100,-0.0200,1.6400,31.2615
NOK,Nokia Corporation Sponsored,NYQ,Technology,Communication Equipment,14.38,14.555,-13.6795,13.4555,0.9968,0.0240,,1.3800,90.9062
NIQ,NIQ Global Intelligence plc,NYQ,,,8.35,8.31,-1.3049,-22.3881,0.5128,,,,
NICE,NICE Ltd,NMS,Technology,Software - Application,93.14,91.57,-5.4920,-1.0892,1.1739,0.0980,-0.6380,0.7000,10.8802
NCNO,"nCino, Inc.",NMS,Technology,Software - Application,14.92,15.035,-9.6212,-15.3239,0.6247,0.1060,1.4530,0.8620,125.2500
NAVN,"Navan, Inc.",NMS,Technology,Software - Application,21.2,21.54,-5.7936,15.3373,0.5035,0.3480,,,
NATL,NCR Atleos Corporation,NYQ,Technology,Software - Application,44.15,44.178,-0.3204,-0.2078,0.1201,0.0650,0.5710,0.3454,19.7223
MXL,"MaxLinear, Inc",NMS,Technology,Semiconductors,80.92,78.16,-11.9254,-21.6919,0.7597,0.4300,,0.3900,
MTLS,Materialise NV,NMS,Technology,Software - Application,6.56,6.61,-4.0639,22.1812,0.7193,-0.0020,,1.2600,33.0500
MNTN,"MNTN, Inc.",NYQ,Technology,Software - Application,9.37,9.23,-11.6123,7.5935,0.6290,0.1420,,,6.6259
MNDY,monday.com Ltd.,NMS,Technology,Software - Application,85.74,83.86,-8.3936,16.3161,0.2615,0.2450,0.0220,0.2800,36.6066
MEI,"Methode Electronics, Inc.",NYQ,Technology,Electronic Components,11.37,11.39,-8.9600,18.1724,0.2454,-0.0260,,0.7800,
MCHP,Microchip Technology Incorporat,NMS,Technology,Semiconductors,88.34,91.575,-5.5899,-7.1557,0.8091,0.3510,,0.3200,416.0909
LYTS,LSI Industries Inc.,NMS,Technology,Electronic Components,22.55,23.31,-3.2379,-5.0896,0.6040,0.1360,-0.4610,0.4000,31.5000
LYFT,"Lyft, Inc.",NMS,Technology,Software - Application,13.65,13.855,-1.9135,-3.5540,0.4560,0.1380,4.5510,0.1500,2.0234
LSPD,Lightspeed Commerce Inc. Subord,NYQ,Technology,Software - Application,9.24,9.545,-1.3946,-3.1947,1.2145,0.1470,,,
LIF,"Life360, Inc.",NMS,Technology,Software - Application,45.37,46.525,-1.0106,5.6186,0.3526,0.3810,-0.3650,,26.5857
LASR,"nLIGHT, Inc.",NMS,Technology,Semiconductors,65.85,67.05,-12.1922,-9.2816,0.3728,0.5520,,1.7800,
KVYO,"Klaviyo, Inc. Series A",NYQ,Technology,Software - Application,15.58,15.145,-10.6785,-0.4602,0.4236,0.2790,,,
KSPI,Joint Stock Company Kaspi.kz - ,NMS,Technology,Software - Infrastructure,81.17,80.33,-9.3976,-6.5076,0.5854,0.3130,-0.0110,,7.0633
KN,Knowles Corporation,NYQ,Technology,Electronic Components,37.26,38.66,-1.4282,9.5522,0.8609,0.1580,,0.4300,54.4366
KD,"Kyndryl Holdings, Inc.",NYQ,Technology,Information Technology Services,11.62,11.625,-7.7381,-5.1794,0.3561,-0.0080,-0.7540,,13.6765
KC,Kingsoft Cloud Holdings Limited,NMS,Technology,Software - Application,11.69,11.37,-17.0073,-28.4005,0.6997,0.3720,,,
JKS,JinkoSolar Holding Company Limi,NYQ,Technology,Solar,20.06,19.41,-14.6567,-21.0505,0.9323,-0.1150,,0.1400,
ITRN,Ituran Location and Control Ltd,NMS,Technology,Scientific & Technical Instruments,63.05,64.08,-3.4504,5.1699,0.3134,0.1880,0.1500,3.4100,21.0789
ITRI,"Itron, Inc.",NMS,Technology,Scientific & Technical Instruments,80.07,82.26,-2.0014,0.4764,0.4097,-0.0330,-0.1840,0.7200,13.1406
IOT,Samsara Inc.,NYQ,Technology,Software - Infrastructure,34.8,33.7,-9.8367,13.2650,0.8815,0.3050,,,336.8500
IONQ,"IonQ, Inc.",NYQ,Technology,Computer Hardware,56.78,63.42,-11.4006,28.4728,0.8270,7.5470,,,162.2818
INTA,"Intapp, Inc.",NMS,Technology,Software - Application,24.35,24.13,-3.8676,-2.9388,0.4684,0.1310,,0.4600,
INGM,Ingram Micro Holding Corporatio,NYQ,Technology,Information Technology Services,29.51,29.535,-6.6688,8.9050,0.3821,0.1370,0.4290,0.4529,19.4276
INFY,Infosys Limited,NYQ,Technology,Information Technology Services,12.4,12.355,-5.4664,-3.6243,0.4443,0.0660,0.1320,2.2000,15.4562
INFQ,"Infleqtion, Inc.",NYQ,Technology,Software - Infrastructure,14.56,14.7999,-25.6417,21.9059,1.0784,0.1390,,,
IIIV,"i3 Verticals, Inc.",NMS,Technology,Software - Infrastructure,19.68,19.77,-1.6418,-6.4806,0.6236,0.0620,,1.2400,179.7273
ICHR,Ichor Holdings,NMS,Technology,Semiconductor Equipment & Materials,62.91,65.96,-12.1881,-11.5627,0.4991,0.0470,,0.6600,
IBTA,"Ibotta, Inc.",NYQ,Technology,Software - Application,32.85,31.93,-8.0622,-10.0563,0.4065,-0.0250,,,
HPQ,HP Inc.,NYQ,Technology,Computer Hardware,25.58,25.28,-7.4203,11.3977,0.6115,0.0900,0.1080,21.3200,9.3574
HPE,Hewlett Packard Enterprise Comp,NYQ,Technology,Communication Equipment,49.2,49.74,-11.5227,58.4689,0.7918,0.4000,,0.8500,46.4439
HLIT,Harmonic Inc.,NMS,Technology,Communication Equipment,13.27,14.29,-8.3761,11.4364,0.8821,0.4340,0.2300,1.8400,178.4375
HIMX,"Himax Technologies, Inc.",NMS,Technology,Semiconductors,20.08,20.25,-15.6797,13.6593,0.7494,-0.0750,-0.6000,1.4900,106.4210
GTLB,GitLab Inc.,NMS,Technology,Software - Infrastructure,31.12,31.16,-2.1213,19.8807,0.8371,0.2310,,,
GRND,Grindr Inc.,NYQ,Technology,Software - Application,10.9,11.09,-5.2519,-26.4745,0.5384,0.3830,-0.0100,,24.1196
GLOB,Globant S.A.,NYQ,Technology,Information Technology Services,38.3,38.26,-9.4844,-2.4471,0.5522,-0.0070,0.2070,1.0000,15.5569
GILT,Gilat Satellite Networks Ltd.,NMS,Technology,Communication Equipment,14.52,14.58,-10.4988,-25.0387,0.5539,0.2000,,4.9900,27.9519
GIB,CGI Inc.,NYQ,Technology,Information Technology Services,67.28,66.54,-4.0309,-2.2465,0.5815,0.0330,0.0350,1.2500,12.0771
GFS,GlobalFoundries Inc.,NMS,Technology,Semiconductors,75.53,77.37,-8.7116,4.1959,0.4710,0.0310,-0.5100,1.5300,52.1824
GEN,Gen Digital Inc.,NMS,Technology,Software - Infrastructure,26.28,25.805,-6.2296,14.4327,0.4691,0.2700,2.6060,1.5100,16.4427
GDDY,GoDaddy Inc.,NYQ,Technology,Software - Infrastructure,84.38,80.36,-9.2603,-11.7227,0.7048,0.0610,-0.0220,0.6800,12.7338
G,Genpact Limited,NYQ,Technology,Information Technology Services,32.62,32.6642,-1.1653,0.2918,0.4429,0.0670,0.1310,1.1600,10.0169
FTV,Fortive Corporation,NYQ,Technology,Scientific & Technical Instruments,61.28,61.4,2.0279,1.5721,0.4839,0.0770,-0.2070,0.9800,36.1059
FSLY,"Fastly, Inc.",NMS,Technology,Software - Application,18.07,19.205,-7.5590,-6.3871,0.3523,0.1980,,,
FRSH,Freshworks Inc.,NMS,Technology,Software - Application,9.45,9.475,,,,,,,
FROG,JFrog Ltd.,NMS,Technology,Software - Application,84.0,85.25,,,,,,,
FOUR,"Shift4 Payments, Inc.",NYQ,Technology,Software - Infrastructure,38.08,37.345,,,,,,,
FLYW,Flywire Corporation - Voting,NMS,Technology,Software - Infrastructure,14.4,14.0,,,,,,,
FISV,"Fiserv, Inc.",NMS,,,54.43,52.655,,,,,,,
FIS,Fidelity National Information S,NYQ,Technology,Information Technology Services,40.95,39.675,,,,,,,
FIG,"Figma, Inc.",NYQ,Technology,Software - Application,21.75,21.11,,,,,,,
EXTR,"Extreme Networks, Inc.",NMS,Technology,Communication Equipment,28.02,29.65,,,,,,,
EXLS,"ExlService Holdings, Inc.",NMS,Technology,Information Technology Services,29.67,29.51,,,,,,,
EVTC,"Evertec, Inc.",NYQ,Technology,Software - Infrastructure,22.34,22.77,,,,,,,
EVCM,EverCommerce Inc.,NMS,Technology,Software - Application,9.2,9.01,,,,,,,
ESTC,Elastic N.V.,NYQ,Technology,Software - Application,61.79,61.53,,,,,,,
ERIC,Ericsson,NMS,Technology,Communication Equipment,12.56,12.53,,,,,,,
EPAM,"EPAM Systems, Inc.",NYQ,Technology,Information Technology Services,98.04,97.315,,,,,,,
EFOR,"Everforth, Inc.",NYQ,Technology,Information Technology Services,20.13,20.245,,,,,,,
EEFT,"Euronet Worldwide, Inc.",NMS,Technology,Software - Infrastructure,66.74,66.59,,,,,,,
DXC,DXC Technology Company,NYQ,Technology,Information Technology Services,9.01,8.7441,,,,,,,
DT,"Dynatrace, Inc.",NYQ,Technology,Software - Application,42.19,41.82,,,,,,,
DSP,Viant Technology Inc.,NMS,Technology,Software - Application,12.11,12.08,,,,,,,
DSGX,The Descartes Systems Group Inc,NMS,Technology,Software - Application,75.46,75.47,,,,,,,
DQ,DAQO New Energy Corp.,NYQ,Technology,Semiconductor Equipment & Materials,16.32,15.22,,,,,,,
DOX,Amdocs Limited,NMS,Technology,Software - Infrastructure,60.09,58.46,,,,,,,
DOCU,"DocuSign, Inc.",NMS,Technology,Software - Application,47.26,46.13,,,,,,,
DLO,DLocal Limited,NMS,Technology,Software - Infrastructure,11.24,11.545,,,,,,,
DGII,Digi International Inc.,NMS,Technology,Communication Equipment,65.95,67.475,,,,,,,
DFIN,"Donnelley Financial Solutions, ",NYQ,Technology,Software - Application,36.74,37.19,,,,,,,
DCBO,Docebo Inc.,NMS,Technology,Software - Application,17.21,17.68,,,,,,,
DBX,"Dropbox, Inc.",NMS,Technology,Software - Infrastructure,27.52,27.075,,,,,,,
DBD,Diebold Nixdorf Incorporated,NYQ,Technology,Software - Application,81.14,82.87,,,,,,,
DAKT,"Daktronics, Inc.",NMS,Technology,Electronic Components,19.12,19.605,,,,,,,
CXM,"Sprinklr, Inc.",NYQ,Technology,Software - Application,5.38,5.37,,,,,,,
CWAN,"Clearwater Analytics Holdings, ",NYQ,Technology,Software - Application,24.37,24.355,,,,,,,
CTSH,Cognizant Technology Solutions ,NMS,Technology,Information Technology Services,53.21,53.23,,,,,,,
CTS,CTS Corporation,NYQ,Technology,Electronic Components,62.85,64.8801,,,,,,,
CSIQ,Canadian Solar Inc.,NMS,Technology,Solar,17.16,17.165,,,,,,,
CRSR,"Corsair Gaming, Inc.",NMS,Technology,Computer Hardware,9.01,8.78,,,,,,,
CRNC,Cerence Inc.,NMS,Technology,Software - Application,10.61,11.175,,,,,,,
ZYME,Zymeworks Inc.,NMS,Healthcare,Biotechnology,24.04,23.95,,,,,,,
ZVRA,"Zevra Therapeutics, Inc.",NMS,Healthcare,Biotechnology,10.61,12.14,,,,,,,
ZTS,Zoetis Inc.,NYQ,Healthcare,Drug Manufacturers - Specialty & Generic,79.44,78.67,,,,,,,
ZBIO,"Zenas BioPharma, Inc.",NMS,Healthcare,Biotechnology,17.47,17.405,,,,,,,
ZBH,"Zimmer Biomet Holdings, Inc.",NYQ,Healthcare,Medical Devices,87.33,87.635,,,,,,,
XRAY,DENTSPLY SIRONA Inc.,NMS,Healthcare,Medical Instruments & Supplies,10.0,10.25,,,,,,,
XERS,"Xeris Biopharma Holdings, Inc.",NMS,Healthcare,Drug Manufacturers - Specialty & Generic,6.18,6.225,,,,,,,
WRBY,Warby Parker Inc.,NYQ,Healthcare,Medical Instruments & Supplies,22.72,23.53,,,,,,,
WGS,GeneDx Holdings Corp.,NMS,Healthcare,Diagnostics & Research,52.21,52.315,,,,,,,
WEAV,"Weave Communications, Inc.",NYQ,Healthcare,Health Information Services,5.69,5.715,,,,,,,
WAY,Waystar Holding Corp.,NMS,Healthcare,Health Information Services,20.0,19.265,,,,,,,
VTRS,Viatris Inc.,NMS,Healthcare,Drug Manufacturers - Specialty & Generic,15.88,15.845,,,,,,,
VREX,Varex Imaging Corporation,NMS,Healthcare,Medical Devices,10.09,10.35,,,,,,,
VOR,Vor Biopharma Inc.,NMS,Healthcare,Biotechnology,13.16,13.325,,,,,,,
VIR,"Vir Biotechnology, Inc.",NMS,Healthcare,Biotechnology,8.65,8.405,,,,,,,
USPH,"U.S. Physical Therapy, Inc.",NYQ,Healthcare,Medical Care Facilities,63.45,61.64,,,,,,,
UPB,"Upstream Bio, Inc.",NMS,Healthcare,Biotechnology,7.05,6.48,,,,,,,
TYRA,"Tyra Biosciences, Inc.",NMS,Healthcare,Biotechnology,26.64,26.255,,,,,,,
TXG,"10x Genomics, Inc.",NMS,Healthcare,Health Information Services,31.04,29.49,,,,,,,
TWST,Twist Bioscience Corporation,NMS,Healthcare,Diagnostics & Research,69.22,68.46,,,,,,,
TSHA,"Taysha Gene Therapies, Inc.",NMS,Healthcare,Biotechnology,5.5,5.385,,,,,,,
TRAX,"First Tracks Biotherapeutics, I",NMS,Healthcare,Biotechnology,16.6,15.595,,,,,,,
