symbol,shortName,exchange,sector,industry,eodprice,regularMarketPrice,pct_1w,pct_1m,rel_volume,revenueGrowth,earningsQuarterlyGrowth,pegRatio,trailingPE
QLYS,"Qualys, Inc.",NMS,Technology,Software - Infrastructure,109.9,110.1,-2.9316,16.7745,0.3140,0.0980,0.0650,4.3100,19.7657
QCOM,QUALCOMM Incorporated,NMS,Technology,Semiconductors,215.94,219.58,-8.4907,0.5938,0.5342,-0.0350,1.6210,0.9100,23.5854
QBTS,D-Wave Quantum Inc.,NYQ,Technology,Computer Hardware,23.85,26.125,-12.7716,15.5959,0.7286,-0.8090,,,
Q,"Qnity Electronics, Inc.",NYQ,Technology,Semiconductor Equipment & Materials,142.05,144.29,-7.3566,-2.0189,0.4298,0.1760,-0.2180,2.3800,46.5429
PTRN,Pattern Group Inc. - Series A,NMS,Technology,Software - Application,19.55,19.64,-4.0098,23.3040,0.2891,0.4320,0.2810,,
PTC,PTC Inc.,NMS,Technology,Software - Application,137.0,137.075,-3.6989,-6.5291,0.7059,0.2170,2.6320,1.2800,13.1676
PSN,Parsons Corporation,NYQ,Technology,Information Technology Services,58.72,58.76,-3.4188,19.4795,0.2046,-0.0410,-0.2010,,28.1148
PSFE,Paysafe Limited,NYQ,Technology,Software - Infrastructure,6.9,6.9801,-6.1745,-24.6767,0.2644,0.1040,,,
PRGS,Progress Software Corporation,NMS,Technology,Software - Infrastructure,31.36,31.29,-8.1057,4.7539,0.2695,0.0410,1.0840,1.0500,16.0462
POWI,"Power Integrations, Inc.",NMS,Technology,Semiconductors,77.02,76.86,-8.7303,5.1176,0.5757,0.0260,-0.6250,1.5100,256.1333
PONY,Pony AI Inc.,NMS,Technology,Information Technology Services,8.62,8.965,-17.1283,-3.3907,0.5711,1.4500,,,
PLXS,Plexus Corp.,NMS,Technology,Electronic Components,273.01,282.21,0.7461,5.8751,0.8421,0.1870,0.2750,2.0900,41.3192
PLUS,ePlus inc.,NMS,Technology,Software - Application,82.32,83.4,-1.1380,-7.6514,0.6031,0.2170,0.1490,0.9400,17.7070
PLTR,Palantir Technologies Inc.,NMS,Technology,Software - Infrastructure,135.53,136.5,-10.2517,-0.8926,0.3880,0.8470,3.0670,1.9400,153.4495
PLAB,"Photronics, Inc.",NMS,Technology,Semiconductor Equipment & Materials,29.15,30.22,-8.8171,-43.6652,1.0868,-0.0050,2.5470,2.6400,11.1506
PICS,PicS N.V.,NMS,Technology,Software - Infrastructure,9.18,9.39,-15.9355,-23.3469,0.4264,0.7020,1.0200,0.0526,5.3657
PI,"Impinj, Inc.",NMS,Technology,Semiconductors,120.93,130.45,-8.9348,-14.6818,0.8520,-0.0000,,,
PENG,"Penguin Solutions, Inc.",NMS,Technology,Information Technology Services,59.86,65.2,-7.7127,47.4135,1.0335,-0.0620,3.6340,0.2563,93.1443
PEGA,Pegasystems Inc.,NMS,Technology,Software - Application,34.71,35.17,-3.9063,-2.2237,0.5149,-0.0960,-0.6160,3.9900,19.0162
PDFS,"PDF Solutions, Inc.",NMS,Technology,Software - Application,51.45,55.38,-0.1802,7.2632,0.7755,0.2590,,4.1900,307.6667
PD,"PagerDuty, Inc.",NYQ,Technology,Software - Application,9.25,9.055,-10.7495,24.1427,0.3001,0.0100,,,4.3720
PCTY,Paylocity Holding Corporation,NMS,Technology,Software - Application,113.46,112.98,-4.1327,1.7931,0.2992,0.1050,0.2160,0.8900,24.1389
PCOR,"Procore Technologies, Inc.",NYQ,Technology,Software - Application,48.57,47.44,-9.9431,-10.9234,0.4930,0.1570,,,
PAYX,"Paychex, Inc.",NMS,Technology,Software - Application,100.53,99.535,-1.2402,7.3356,0.5924,0.1990,0.0790,1.7700,21.9735
PAYP,PayPay Corporation - American D,NMS,Technology,Software - Infrastructure,15.08,15.38,-17.7540,-21.5706,0.2800,0.2910,0.3950,1.4600,13.7321
PAYC,"Paycom Software, Inc.",NYQ,Technology,Software - Application,137.62,136.28,-5.5120,-0.1594,0.2126,0.0780,0.1170,0.9900,15.7731
PAY,"Paymentus Holdings, Inc.",NYQ,Technology,Software - Infrastructure,20.9,20.89,-6.6443,-21.6779,0.5961,0.3020,0.5120,0.7149,36.6053
PATH,"UiPath, Inc.",NYQ,Technology,Software - Infrastructure,11.24,11.165,-8.3333,3.4754,0.7482,0.1730,,0.4000,18.6083
PAR,PAR Technology Corporation,NYQ,Technology,Software - Application,13.46,13.545,-11.4127,-5.9375,0.2940,0.1940,,0.7700,
PANW,"Palo Alto Networks, Inc.",NMS,Technology,Software - Infrastructure,272.05,267.185,-10.0882,28.5357,0.4820,0.3110,,4.4800,234.3860
PAGS,PagSeguro Digital Ltd.,NYQ,Technology,Software - Infrastructure,8.53,8.565,-7.1041,-15.1140,0.3708,0.0150,0.0390,1.5251,5.9479
P,"Everpure, Inc.",NYQ,Technology,Computer Hardware,72.17,74.09,-10.8460,-5.3480,0.4800,,,1.5300,112.0909
OUST,"Ouster, Inc.",NMS,Technology,Electronic Components,39.68,41.26,-10.2976,63.8492,0.7765,0.4890,,,
OTEX,Open Text Corporation,NMS,Technology,Software - Application,23.12,22.565,-7.8841,-7.6233,0.3779,0.0220,0.8600,1.0200,10.9563
OSIS,"OSI Systems, Inc.",NMS,Technology,Electronic Components,197.73,209.4,-1.2311,-9.2839,0.5872,0.0200,-0.0220,1.4400,23.9314
ORCL,Oracle Corporation,NYQ,Technology,Software - Infrastructure,213.68,212.78,-12.8588,8.7675,0.4805,0.2170,0.2670,1.3500,38.1953
OOMA,"Ooma, Inc.",NYQ,Technology,Software - Application,17.13,16.82,-4.7025,-12.8949,0.7415,0.2480,,,50.9697
ONTO,Onto Innovation Inc.,NYQ,Technology,Semiconductor Equipment & Materials,253.24,269.235,-3.1149,-5.3782,0.6671,0.0950,-0.4730,1.1800,125.2837
ON,ON Semiconductor Corporation,NMS,Technology,Semiconductors,117.26,122.94,-4.3610,19.2151,0.6961,0.0470,,0.3900,90.4632
OLED,Universal Display Corporation,NMS,Technology,Electronic Components,86.11,88.84,-5.2778,-3.1717,0.3592,-0.1450,-0.4430,1.0000,19.7862
OKTA,"Okta, Inc.",NMS,Technology,Software - Infrastructure,118.72,117.396,-13.2575,39.9046,0.3229,0.1120,0.1940,1.1300,85.0580
OCTV,Octave Intelligence plc,NMS,Technology,Software - Application,18.71,21.045,-16.2485,-4.2350,0.8697,,,,18.2870
NXT,Nextpower Inc.,NMS,Technology,Solar,131.57,126.555,-16.8605,0.5123,0.5300,-0.0470,-0.0390,4.7500,32.9570
NXPI,NXP Semiconductors N.V.,NMS,Technology,Semiconductors,295.96,304.78,-5.8216,3.4029,0.5803,0.1220,1.2900,0.7500,29.1655
NVMI,Nova Ltd.,NMS,Technology,Semiconductor Equipment & Materials,475.76,512.66,-2.0014,-1.6310,0.7104,0.1030,0.0680,1.4600,64.2431
NVDA,NVIDIA Corporation,NMS,Technology,Semiconductors,205.1,209.03,-6.0346,-2.7074,0.5840,0.8520,2.1060,0.6300,32.0779
NTSK,"Netskope, Inc.",NMS,Technology,Software - Infrastructure,9.635,9.565,-20.8437,-17.6420,0.6224,0.2780,,,
NTNX,"Nutanix, Inc.",NMS,Technology,Software - Infrastructure,53.64,52.12,-6.0732,13.3043,0.3605,0.1000,0.1380,1.1800,54.8632
NTGR,"NETGEAR, Inc.",NMS,Technology,Communication Equipment,24.09,25.14,-7.7431,-8.4820,0.4092,-0.0200,,0.7400,
NTCT,"NetScout Systems, Inc.",NMS,Technology,Software - Infrastructure,40.59,40.7,-6.3088,4.0934,0.5324,-0.0100,-0.0200,1.6400,31.3001
NTAP,"NetApp, Inc.",NMS,Technology,Software - Infrastructure,167.04,170.58,-2.8724,44.5720,0.4719,0.1250,0.1880,1.8400,26.8654
NSIT,"Insight Enterprises, Inc.",NMS,Technology,Electronics & Computer Distribution,111.07,112.195,-6.1236,34.1091,0.4539,0.0120,2.9940,1.0100,20.0303
NOW,"ServiceNow, Inc.",NYQ,Technology,Software - Application,112.45,114.835,-9.9843,26.0200,0.5350,0.2210,0.0200,1.0900,68.3958
NOVT,Novanta Inc.,NMS,Technology,Scientific & Technical Instruments,156.29,163.79,-2.8471,18.4224,0.4478,0.1040,-0.0050,,117.8345
NOK,Nokia Corporation Sponsored,NYQ,Technology,Communication Equipment,14.38,14.69,-12.8872,14.4969,0.9326,0.0240,,1.3800,91.7406
NIQ,NIQ Global Intelligence plc,NYQ,,,8.35,8.295,-1.6014,-22.6213,0.4172,,,,
NICE,NICE Ltd,NMS,Technology,Software - Application,93.14,91.54,-5.7187,-1.3264,1.0310,0.0980,-0.6380,0.7000,10.8541
NET,"Cloudflare, Inc.",NYQ,Technology,Software - Infrastructure,250.11,249.02,-8.6701,26.9668,0.4723,0.3350,,2.3800,
NCNO,"nCino, Inc.",NMS,Technology,Software - Application,14.92,15.125,-9.0499,-14.7887,0.4919,0.1060,1.4530,0.8675,126.0417
NAVN,"Navan, Inc.",NMS,Technology,Software - Application,21.2,21.845,-4.5037,16.9165,0.3914,0.3480,,,
NATL,NCR Atleos Corporation,NYQ,Technology,Software - Application,44.15,44.15,-0.3836,-0.2711,0.1006,0.0650,0.5710,0.3452,19.7098
MXL,"MaxLinear, Inc",NMS,Technology,Semiconductors,80.92,79.595,-10.2411,-20.1943,0.6873,0.4300,,0.3900,
MTSI,MACOM Technology Solutions Hold,NMS,Technology,Semiconductors,345.4,362.7,-5.0216,0.9086,0.6431,0.2250,0.4630,2.0500,154.5319
MTLS,Materialise NV,NMS,Technology,Software - Application,6.56,6.54,-5.0798,20.8872,0.5923,-0.0020,,1.2600,32.7000
MSTR,Strategy Inc,NMS,Technology,Software - Application,120.44,127.04,-6.6027,-32.2485,0.8150,0.1190,,2.8500,
MSI,"Motorola Solutions, Inc.",NYQ,Technology,Communication Equipment,410.34,404.56,-2.6142,5.3569,0.4884,0.0740,-0.1490,2.2100,32.6521
MSFT,Microsoft Corporation,NMS,Technology,Software - Infrastructure,416.67,412.64,-6.4592,-0.3423,0.5410,0.1830,0.2310,1.2800,24.5864
MRVL,"Marvell Technology, Inc.",NMS,Technology,Semiconductors,263.47,296.66,2.1067,74.5230,2.1373,0.2760,-0.8060,1.4900,102.4362
MNTN,"MNTN, Inc.",NYQ,Technology,Software - Application,9.37,9.15,-12.1881,6.8925,0.4634,0.1420,,,6.5827
MNDY,monday.com Ltd.,NMS,Technology,Software - Application,85.74,84.365,-7.8024,17.0667,0.2185,0.2450,0.0220,0.2800,36.8428
MLAB,"Mesa Laboratories, Inc.",NMS,Technology,Scientific & Technical Instruments,103.89,106.77,0.1031,2.1844,1.0025,0.0260,,,88.2397
MKSI,MKS Inc.,NMS,Technology,Scientific & Technical Instruments,301.65,312.545,-5.5706,-0.0986,0.6388,0.1520,0.6150,1.3200,65.5482
MEI,"Methode Electronics, Inc.",NYQ,Technology,Electronic Components,11.37,11.42,-8.5200,18.7435,0.1899,-0.0260,,0.7800,
MCHP,Microchip Technology Incorporat,NMS,Technology,Semiconductors,88.34,91.83,-5.2599,-6.8311,0.7001,0.3510,,0.3200,417.5455
MANH,"Manhattan Associates, Inc.",NMS,Technology,Software - Application,147.64,147.58,-4.8504,3.1464,0.4568,0.0740,-0.0630,1.8100,41.3221
LYTS,LSI Industries Inc.,NMS,Technology,Electronic Components,22.55,23.155,-3.8813,-5.7207,0.4771,0.1360,-0.4610,0.4000,31.2905
LYFT,"Lyft, Inc.",NMS,Technology,Software - Application,13.65,14.02,-0.6024,-2.2648,0.3913,0.1380,4.5510,0.1500,2.0504
LSPD,Lightspeed Commerce Inc. Subord,NYQ,Technology,Software - Application,9.24,9.525,-1.6012,-3.3976,1.0202,0.1470,,,
LSCC,Lattice Semiconductor Corporati,NMS,Technology,Semiconductors,135.57,141.025,-6.7856,10.9207,0.5883,0.4220,3.3440,0.5900,1007.7143
LRCX,Lam Research Corporation,NMS,Technology,Semiconductor Equipment & Materials,303.28,326.3,-2.3504,11.0525,0.6122,0.2380,0.3720,1.7700,61.8466
LOGI,Logitech International S.A. - R,NMS,Technology,Computer Hardware,112.93,113.88,-10.0995,4.1183,0.3544,0.0740,-0.0040,1.5700,23.7281
LIF,"Life360, Inc.",NMS,Technology,Software - Application,45.37,46.69,-0.6383,6.0159,0.3058,0.3810,-0.3650,,26.6857
LFUS,"Littelfuse, Inc.",NMS,Technology,Electronic Components,457.34,462.8,-5.1609,1.4174,0.8630,0.1850,0.7250,2.7000,
LDOS,"Leidos Holdings, Inc.",NYQ,Technology,Information Technology Services,124.43,123.105,-2.8781,-5.3340,0.4978,0.0370,-0.0960,2.4600,11.2793
LASR,"nLIGHT, Inc.",NMS,Technology,Semiconductors,65.85,67.48,-11.6291,-8.6998,0.3361,0.5520,,1.7800,
KVYO,"Klaviyo, Inc. Series A",NYQ,Technology,Software - Application,15.58,15.155,-10.5605,-0.3287,0.3468,0.2790,,,
KSPI,Joint Stock Company Kaspi.kz - ,NMS,Technology,Software - Infrastructure,81.17,80.525,-9.1550,-6.2573,0.5563,0.3130,-0.0110,,7.0822
KN,Knowles Corporation,NYQ,Technology,Electronic Components,37.26,38.56,-1.6322,9.3254,0.5868,0.1580,,0.4300,54.3239
KLIC,"Kulicke and Soffa Industries, I",NMS,Technology,Semiconductor Equipment & Materials,98.16,103.035,-4.9142,0.3653,0.4491,0.4980,,2.3800,100.0340
KEYS,Keysight Technologies Inc.,NYQ,Technology,Scientific & Technical Instruments,329.83,331.34,-4.3890,-8.0324,0.5956,0.3150,0.3580,1.4200,53.4450
KD,"Kyndryl Holdings, Inc.",NYQ,Technology,Information Technology Services,11.62,11.635,-7.6587,-5.0979,0.2983,-0.0080,-0.7540,,13.6882
KC,Kingsoft Cloud Holdings Limited,NMS,Technology,Software - Application,11.69,11.415,-16.6788,-28.1171,0.6441,0.3720,,,
JKS,JinkoSolar Holding Company Limi,NYQ,Technology,Solar,20.06,19.78,-12.9401,-19.4625,0.6049,-0.1150,,0.1400,
JKHY,"Jack Henry & Associates, Inc.",NMS,Technology,Information Technology Services,130.11,126.8,-6.7926,-12.6715,0.5485,0.0870,0.1060,1.7700,17.7081
JBL,Jabil Inc.,NYQ,Technology,Electronic Components,353.24,365.49,-2.0427,2.9481,0.3385,0.2310,0.9060,0.8200,49.2749
ZYME,Zymeworks Inc.,NMS,Healthcare,Biotechnology,24.04,23.855,-1.0577,-0.1465,0.4599,-0.9110,,,
ZVRA,"Zevra Therapeutics, Inc.",NMS,Healthcare,Biotechnology,10.61,12.05,10.7537,8.2659,1.8991,0.7750,,10.6700,5.9950
